epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,12047.1,1.14952,0.84602,1.35029,0.84859,0.80592,0.88087,0.54316,1.2553,0.66143,1.44517,0.006238,0.006238,0.006238
116,12148.9,1.14931,0.83955,1.34156,0.8369,0.81036,0.88229,0.54542,1.25637,0.65564,1.44859,0.006205,0.006205,0.006205
117,12250.9,1.13784,0.84398,1.34323,0.85272,0.80039,0.88236,0.54556,1.25236,0.65727,1.4485,0.006172,0.006172,0.006172
118,12354.5,1.15101,0.84793,1.34376,0.86617,0.7922,0.8876,0.54562,1.25569,0.65416,1.44961,0.006139,0.006139,0.006139
119,12457.8,1.14153,0.83229,1.34071,0.83286,0.82258,0.88834,0.55514,1.25284,0.64908,1.44656,0.006106,0.006106,0.006106
120,12560.9,1.12759,0.83664,1.33373,0.80352,0.85864,0.88852,0.55016,1.24715,0.65247,1.44589,0.006073,0.006073,0.006073
121,12663.3,1.1369,0.82612,1.32776,0.81759,0.84829,0.89021,0.55204,1.24686,0.64601,1.44292,0.00604,0.00604,0.00604
122,12768.8,1.11585,0.80699,1.3159,0.83977,0.83231,0.89048,0.55297,1.2479,0.64612,1.44366,0.006007,0.006007,0.006007
123,12871.6,1.13083,0.82218,1.32665,0.82395,0.84545,0.88864,0.55384,1.24327,0.64527,1.43532,0.005974,0.005974,0.005974
124,12974.4,1.1353,0.82118,1.3293,0.86039,0.80565,0.88791,0.55254,1.23573,0.63957,1.42662,0.005941,0.005941,0.005941
125,13077.2,1.11681,0.82318,1.32172,0.84726,0.79711,0.8802,0.54825,1.23613,0.63962,1.42617,0.005908,0.005908,0.005908
126,13180.2,1.11353,0.80392,1.31442,0.83395,0.82077,0.8848,0.55235,1.23841,0.63552,1.42838,0.005875,0.005875,0.005875
127,13282.9,1.09959,0.8102,1.31511,0.83979,0.81852,0.89016,0.55964,1.2346,0.63591,1.42637,0.005842,0.005842,0.005842
128,13387.7,1.1201,0.80725,1.32016,0.83562,0.84145,0.88863,0.56154,1.2354,0.63805,1.42821,0.005809,0.005809,0.005809
129,13491.3,1.11281,0.79702,1.30485,0.84376,0.83369,0.88742,0.56047,1.2348,0.62962,1.42585,0.005776,0.005776,0.005776
130,13593.5,1.09367,0.7986,1.30129,0.83664,0.83465,0.88419,0.55755,1.23127,0.62687,1.42534,0.005743,0.005743,0.005743
131,13695.9,1.09544,0.81005,1.3045,0.83569,0.82286,0.88478,0.56105,1.23299,0.62525,1.42498,0.00571,0.00571,0.00571
132,13799.3,1.09298,0.78982,1.30289,0.83926,0.822,0.88697,0.56023,1.23267,0.62407,1.42569,0.005677,0.005677,0.005677
133,13901.8,1.10605,0.79148,1.30212,0.83966,0.82654,0.88747,0.55523,1.22924,0.62313,1.424,0.005644,0.005644,0.005644
134,14004.8,1.09368,0.79479,1.30492,0.82851,0.83631,0.88707,0.55673,1.22703,0.62154,1.42545,0.005611,0.005611,0.005611
135,14107.1,1.08567,0.78542,1.29893,0.8504,0.82229,0.88854,0.55786,1.22755,0.62196,1.42865,0.005578,0.005578,0.005578
136,14211.3,1.08825,0.79345,1.3007,0.84486,0.83326,0.88991,0.56226,1.2251,0.62016,1.42686,0.005545,0.005545,0.005545
137,14313.3,1.09116,0.78329,1.29866,0.86721,0.81083,0.88951,0.5689,1.22365,0.61859,1.42569,0.005512,0.005512,0.005512
138,14417.4,1.08866,0.79106,1.29681,0.83626,0.83654,0.89239,0.57386,1.22266,0.61895,1.42511,0.005479,0.005479,0.005479
139,14520.9,1.09138,0.79145,1.30431,0.83725,0.85002,0.89442,0.57606,1.21806,0.61721,1.42419,0.005446,0.005446,0.005446
140,14624.1,1.08308,0.78869,1.2932,0.8433,0.84782,0.89253,0.57274,1.21721,0.61778,1.42277,0.005413,0.005413,0.005413
